method,layer,alpha,flip_rate,flips,valid
unsteered,,0.0,38.46153846153847,5,13
CAA,7.0,0.5,38.46153846153847,5,13
CAA,7.0,1.0,50.0,6,12
CAA,7.0,2.0,41.66666666666667,5,12
CAA,7.0,4.0,21.428571428571427,3,14
CAA,7.0,8.0,35.714285714285715,5,14
CAA,14.0,0.5,28.57142857142857,4,14
CAA,14.0,1.0,28.57142857142857,4,14
CAA,14.0,2.0,35.714285714285715,5,14
CAA,14.0,4.0,42.857142857142854,6,14
CAA,14.0,8.0,35.714285714285715,5,14
CAA,21.0,0.5,35.714285714285715,5,14
CAA,21.0,1.0,30.76923076923077,4,13
CAA,21.0,2.0,7.142857142857142,1,14
CAA,21.0,4.0,21.428571428571427,3,14
CAA,21.0,8.0,21.428571428571427,3,14
CAA,27.0,0.5,38.46153846153847,5,13
CAA,27.0,1.0,21.428571428571427,3,14
CAA,27.0,2.0,21.428571428571427,3,14
CAA,27.0,4.0,33.33333333333333,4,12
CAA,27.0,8.0,35.714285714285715,5,14
